Verb-Subject,Selectional_Association
"('plant', 'man')",0.28264256870835264
"('arrive', 'person')",0.00665390093129496
"('applaud', 'person')",0.17540130430261897
"('deflect', 'person')",1.0
"('fight', 'boxer')",0.1368515378791847
"('set', 'fan')",0.0734061055226871
"('wave', 'man')",0.12468747616305968
"('display', 'person')",0.19140215777358371
"('open', 'woman')",0.4238464555227247
"('leap', 'dolphin')",0.5011749495257333
"('click', 'person')",1.0
"('hug', 'couple')",0.3414986922282747
"('speak', 'man')",0.022241434174843963
"('stand', 'train')",-0.004277541313804935
"('lie', 'student')",0.0028126994516687698
"('light', 'firefighter')",0.21504734568938327
"('dance', 'beach')",0.23199873323106107
"('hug', 'woman')",-0.03610533382851904
"('pose', 'coach')",0.09058670769312235
"('cycle', 'man')",1.0414754859850637
"('try', 'girl')",0.5310877928599554
"('react', 'person')",-0.030085865049344206
"('paddle', 'person')",-0.01675356907790296
"('play', 'mother')",0.042558271442737515
"('hang', 'species')",0.09904572295821847
"('sparkle', 'actor')",1.0
"('look', 'woman')",-0.09677592701531641
"('speak', 'player')",0.254576967170366
"('evade', 'player')",0.5014097930612462
"('ride', 'man')",0.3871021690555659
"('show', 'person')",0.16247510934997436
"('lie', 'mother')",0.004879746484910567
"('drive', 'man')",0.13180708641513272
"('lean', 'bicycle')",0.3110040945092816
"('fall', 'person')",0.03670374393368655
"('clean', 'woman')",0.6343190683876022
"('float', 'duck')",0.07279092370816061
"('hold', 'hand')",0.086449668916151
"('splash', 'water')",0.48747304975482453
"('carry', 'soldier')",0.018422658271483924
"('react', 'player')",0.46742579434739345
"('cross', 'crowd')",0.049184539983913256
"('kick', 'athlete')",0.2689160076402752
"('sleep', 'girl')",0.31563951991879935
"('support', 'fan')",0.9147401028252085
"('shop', 'woman')",0.5773964572313074
"('prepare', 'chef')",0.059081316967999495
"('hug', 'girl')",-0.04238345457538529
"('shout', 'footballer')",0.2262867064216436
"('play', 'couple')",-0.01112171012608189
"('scream', 'man')",0.8760284996323645
"('lay', 'puppy')",0.06827140633254027
"('cook', 'person')",-0.05255439551236347
"('work', 'student')",0.2986609484290745
"('stand', 'horse')",0.015648525669967505
"('decorate', 'woman')",0.2493857860135294
"('check', 'woman')",0.6908764508061312
"('grow', 'lemon')",0.18685957771115735
"('knock', 'man')",0.20175347184217013
"('peer', 'child')",0.9365552316843327
"('sit', 'couple')",-0.010988962433618306
"('use', 'man')",0.21068823094159433
"('congratulate', 'person')",-0.03285004034455674
"('sit', 'family')",0.00720097286822704
"('wash', 'man')",0.35751257284393756
"('carry', 'athlete')",0.01334132217518348
"('close', 'woman')",0.12768103394947797
"('pick', 'hand')",0.7009835462160615
"('lean', 'woman')",0.045270738548298106
"('jump', 'dolphin')",0.10212066789085208
"('accept', 'actor')",0.08659016258473659
"('pass', 'man')",-0.020755157209551976
"('break', 'player')",0.06332240734538076
"('hold', 'boy')",-0.0045021724340437875
"('cross', 'arm')",0.042779179521493
"('rest', 'bear')",0.009889374134847414
"('lie', 'baby')",0.013658660976815753
"('lead', 'girl')",0.07347920012182489
"('dance', 'woman')",-0.027804354031245305
"('block', 'player')",0.16928352210773387
"('mix', 'woman')",1.0
"('style', 'person')",1.0
"('stand', 'hiker')",0.011705127580251396
"('write', 'girl')",0.010153440763871346
"('talk', 'woman')",0.007002418178996014
"('set', 'woman')",0.013464067952006803
"('run', 'cat')",-0.007622407622417477
"('ride', 'couple')",0.08137995090912141
"('lie', 'businessman')",-0.0003496579615715475
